rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
GRU,0.3,200,1,False,0.5738657592353733,0.6262665080446038,0.6216364634816035,0.3787410094446642,0.5838040850040588,0.7041284403669725,0.6271676300578034
GRU,0.5,100,3,False,0.5943848986504815,0.6267052245107505,0.6396485447556287,0.4199428369809325,0.6321442291479219,0.7029816513761468,0.6262626262626262
LSTM,0.3,150,3,False,0.5609642927822429,0.6304985636163278,0.6593080724876442,0.5119239142562021,0.621405787681314,0.7006880733944955,0.6133333333333334
RNN,0.0,100,3,True,0.6515966241260828,0.6525798036426795,0.5831960461285007,0.2750152290241606,0.5853031101551923,0.7006880733944955,0.6429548563611491
LSTM,0.3,200,1,False,0.5727686761436374,0.6022048005477979,0.6319604612850084,0.4234709496738372,0.6009394609030675,0.698394495412844,0.6103703703703705
LSTM,0.5,200,1,False,0.5727686761436374,0.6022048005477979,0.6319604612850084,0.4234709496738372,0.6009394609030675,0.698394495412844,0.6103703703703705
LSTM,0.0,200,1,False,0.5727686761436374,0.6022048005477979,0.6319604612850084,0.4234709496738372,0.6009394609030675,0.698394495412844,0.6103703703703705
GRU,0.5,150,2,False,0.5873899741930895,0.6554137590967242,0.6216364634816035,0.3874531335375562,0.6887670522979037,0.6961009174311926,0.6062407132243685
RNN,0.0,150,3,False,0.578386749114309,0.639266232519202,0.6516199890170237,0.5075410430061416,0.6279848217964172,0.6961009174311926,0.6354883081155434
RNN,0.5,150,2,True,0.638063431692563,0.6639035805001285,0.5960461285008238,0.3587313742695599,0.5974956913427873,0.694954128440367,0.6415094339622642
GRU,0.0,200,1,True,0.5778144363846097,0.6293090517932926,0.6204283360790774,0.385132576756596,0.5984256774695083,0.6926605504587156,0.6047197640117994
GRU,0.5,200,1,True,0.5778144363846097,0.6293090517932926,0.6204283360790774,0.385132576756596,0.5984256774695083,0.6926605504587156,0.6047197640117994
GRU,0.0,100,2,False,0.6180578715790253,0.6745346902905265,0.5763866007688084,0.2549275915579108,0.671596475284208,0.6926605504587156,0.6160458452722064
GRU,0.0,150,2,False,0.5746074592188206,0.6560328353705301,0.6227347611202636,0.3849591988563404,0.7207228707530621,0.6926605504587156,0.593939393939394
GRU,0.3,200,1,True,0.5778144363846097,0.6293090517932926,0.6204283360790774,0.385132576756596,0.5984256774695083,0.6926605504587156,0.6047197640117994
GRU,0.3,100,2,False,0.6382783409087889,0.6689367206940234,0.5780340472267985,0.2532397174693371,0.6701177082617175,0.6915137614678899,0.6118326118326118
RNN,0.0,150,3,True,0.5872574825166008,0.672261274463492,0.6439319055464031,0.4907818361108083,0.7204565182328224,0.6892201834862385,0.6188466947960618
LSTM,0.5,150,3,False,0.575500985911365,0.6400908453420537,0.6550247116968698,0.4896072298823307,0.6488285296681252,0.6892201834862385,0.5772230889235569
RNN,0.3,150,3,False,0.6028224704315035,0.6668506294163199,0.6419549697968149,0.5143233002736441,0.6323450209403579,0.6880733944954128,0.6136363636363636
RNN,0.0,100,2,False,0.6426318518577083,0.6643329037343219,0.5954969796814937,0.3471127176656045,0.6109923849051649,0.6857798165137615,0.5982404692082112
LSTM,0.5,200,2,False,0.5537329382061409,0.5679807396127227,0.6828116419549698,0.5532626582254953,0.5832535036500882,0.6823394495412844,0.5481239804241436
RNN,0.3,150,2,False,0.6575248869058724,0.6715534678573817,0.5701263042284459,0.2394540869307224,0.6325318859043446,0.6823394495412844,0.6002886002886002
RNN,0.0,200,3,True,0.6309473988647285,0.6838027845152089,0.6271279516749039,0.4706133764517961,0.6592605738815936,0.6788990825688074,0.582089552238806
RNN,0.0,150,2,True,0.6037912383606905,0.676447374964021,0.6065897858319605,0.3592554227510928,0.7079832569103349,0.6754587155963303,0.5731523378582202
RNN,0.0,200,1,False,0.6409121351582663,0.675662858808627,0.5862712795167491,0.3074939432207702,0.6658456935123964,0.6754587155963303,0.5844346549192364
RNN,0.3,200,1,False,0.6409121351582663,0.675662858808627,0.5862712795167491,0.3074939432207702,0.6658456935123964,0.6754587155963303,0.5844346549192364
RNN,0.5,200,1,False,0.6409121351582663,0.675662858808627,0.5862712795167491,0.3074939432207702,0.6658456935123964,0.6754587155963303,0.5844346549192364
RNN,0.3,200,2,True,0.6412158385674525,0.6557181076925309,0.5777045579352004,0.2695583250194515,0.6214719092981382,0.6754587155963303,0.5856515373352855
